charmer,application
openstack-charmers,openstack-lxd
openstack-charmers,openstack-telemetry
openstack-charmers,openvswitch-odl
openstack-charmers,percona-cluster
openstack-charmers,rabbitmq-server
openstack-charmers,swift-proxy
openstack-charmers,swift-storage
openstack-charmers,tempest
openstack-charmers,vault
openstack-charmers-next,aodh
openstack-charmers-next,barbican
openstack-charmers-next,barbican-softhsm
openstack-charmers-next,ceilometer
openstack-charmers-next,ceilometer-agent
openstack-charmers-next,ceph
openstack-charmers-next,ceph-base-bionic-luminous
openstack-charmers-next,ceph-base-xenial-jewel
openstack-charmers-next,ceph-base-xenial-luminous
openstack-charmers-next,ceph-fs
openstack-charmers-next,ceph-mon
openstack-charmers-next,ceph-osd
openstack-charmers-next,ceph-proxy
openstack-charmers-next,ceph-radosgw
openstack-charmers-next,cinder
openstack-charmers-next,cinder-backup
openstack-charmers-next,cinder-ceph
openstack-charmers-next,designate
openstack-charmers-next,designate-bind
openstack-charmers-next,glance
openstack-charmers-next,glance-simplestreams-sync
openstack-charmers-next,gnocchi
openstack-charmers-next,hacluster
openstack-charmers-next,heat
openstack-charmers-next,keystone
openstack-charmers-next,keystone-ldap
openstack-charmers-next,lxd
openstack-charmers-next,manila
openstack-charmers-next,manila-generic
openstack-charmers-next,neutron-api
openstack-charmers-next,neutron-api-odl
openstack-charmers-next,neutron-dynamic-routing
openstack-charmers-next,neutron-gateway
openstack-charmers-next,neutron-openvswitch
openstack-charmers-next,nova-cloud-controller
openstack-charmers-next,nova-compute
openstack-charmers-next,nova-compute-proxy
openstack-charmers-next,odl-controller
openstack-charmers-next,openstack-base-bionic-queens
openstack-charmers-next,openstack-base-spaces
openstack-charmers-next,openstack-base-xenial-mitaka
openstack-charmers-next,openstack-base-xenial-newton
openstack-charmers-next,openstack-base-xenial-ocata
openstack-charmers-next,openstack-base-xenial-pike
openstack-charmers-next,openstack-base-xenial-queens
openstack-charmers-next,openstack-dashboard
openstack-charmers-next,openstack-refstack-xenial-ocata
openstack-charmers-next,openstack-refstack-xenial-ocata-ppc64el-alt
openstack-charmers-next,openstack-refstack-xenial-pike
openstack-charmers-next,openstack-refstack-xenial-pike-ppc64el-alt
openstack-charmers-next,openstack-telemetry-bionic-queens
openstack-charmers-next,openstack-telemetry-xenial-newton
openstack-charmers-next,openstack-telemetry-xenial-ocata
openstack-charmers-next,openstack-telemetry-xenial-pike
openstack-charmers-next,openstack-telemetry-xenial-queens
openstack-charmers-next,openvswitch-odl
openstack-charmers-next,percona-cluster
openstack-charmers-next,quagga
openstack-charmers-next,rabbitmq-server
openstack-charmers-next,swift-proxy
openstack-charmers-next,swift-storage
openstack-charmers-next,tempest
openstack-charmers-next,vault
openstack-dev-s,cinder-storpool
openstack-dev-s,storpool-block
openstack-dev-s,storpool-candleholder
paulgear,ntp
paulgear,openstack-service-checks
paulgear,unattended
peter-sabaini,graylog
peter-sabaini,nrpe
petevg,neutron-api-subordinate-shim
pguimaraes,kubernetes-master
pguimaraes,kubernetes-worker
pguimaraes,openstack-integrator-test
pguimaraes,rsyslog-forwarder-ha
pjdc,openstack-service-checks
pjdc,prometheus-ceph-exporter
postgresql-charmers,pgbouncer
postgresql-charmers,postgresql
postgresql-charmers,postgresql-client
prometheus-charmers,grafana
prometheus-charmers,prometheus
prometheus-charmers,prometheus-alertmanager
prometheus-charmers,prometheus-blackbox-exporter
prometheus-charmers,prometheus-ceph-exporter
prometheus-charmers,prometheus-grok-exporter
prometheus-charmers,prometheus-libvirt-exporter
prometheus-charmers,prometheus-openstack-exporter
prometheus-charmers,prometheus-pushgateway
prometheus-charmers,prometheus-snmp-exporter
prometheus-charmers,prometheus2
redis-charmers,redis
rharding,dsnviewer
rharding,jujushell
rharding,mysql
rogpeppe,test-perm
rogpeppe,ubuntu
ryeterrell,calico
ryeterrell,canal
ryeterrell,etcd
ryeterrell,flannel
ryeterrell,kubeapi-load-balancer
ryeterrell,kubernetes-e2e
ryeterrell,kubernetes-master
ryeterrell,kubernetes-worker
sdn-charmers,contrail-analytics
sdn-charmers,contrail-configuration
sdn-charmers,contrail-control
sdn-charmers,contrail-webui
sdn-charmers,neutron-api-contrail
sdn-charmers,neutron-contrail
sentry-charmers,sentry
sgiller,jenkins
slurm-charmers,slurm-controller
spiculecharms,anssr-analytics
spiculecharms,anssr-data-engine
spiculecharms,anssr-hadoop
spiculecharms,apache-drill
spiculecharms,apache-solr
spiculecharms,drill-hadoop
